"Commissariat de police d'Oyonnax";"57 Rue Pasteur 01100 OYONNAX";"+33 4 74 77 47 33";"01";"01283";"57 Rue Pasteur";"01100";"Oyonnax";"2154";"904292.38";"6576100.064";"5.65241071";"46.2538898"
"Commissariat de police de Bourg en Bresse";"4 Rue des Remparts 01000 BOURG-EN-BRESSE";"+33 4 74 47 20 20";"01";"01053";"4 Rue des Remparts";"01000";"Bourg-en-Bresse";"2154";"871543.203";"6569852.464";"5.22517643";"46.20676468"
"Commissariat de police de Château Thierry";"Avenue de la Mare aux Canes 02400 CHATEAU-THIERRY";"+33 3 23 84 26 26";"02";"02168";"Avenue de la Mare aux Canes";"02400";"Château-Thierry";"2154";"728457.21";"6883197.171";"3.38927094";"49.04801921"
"Commissariat de police de Laon";"2 Boulevard Gras Brancourt 02000 LAON";"+33 3 23 27 79 79";"02";"02408";"2 Boulevard Gras Brancourt";"02000";"Laon";"2154";"745326.775";"6941354.585";"3.62633491";"49.56982361"
"Commissariat de police de Saint Quentin";"7 Avenue du Général de Gaulle 02100 SAINT-QUENTIN";"+33 3 23 06 20 20";"02";"02691";"7 Avenue du Général de Gaulle";"02100";"Saint-Quentin";"2154";"721359.111";"6971576.277";"3.29671879";"49.84262881"
"Commissariat de police de Soissons";"19 Rue Paul Deviolaine 02200 SOISSONS";"+33 3 23 76 72 00";"02";"02722";"19 Rue Paul Deviolaine";"02200";"Soissons";"2154";"723462.998";"6920740.734";"3.32305622";"49.38573841"
"Commissariat de police de Tergnier";"19 Rue Victor Hugo 02700 TERGNIER";"+33 3 23 37 22 00";"02";"02738";"19 Rue Victor Hugo";"02700";"Tergnier";"2154";"721168.506";"6950754.401";"3.29299764";"49.65555538"
"Commissariat de police de Montluçon";"41 Rue Joseph Chantemille 03100 MONTLUCON";"+33 4 70 02 52 70";"03";"03185";"41 Rue Joseph Chantemille";"03100";"Montluçon";"2154";"668926.466";"6582400.785";"2.59599273";"46.34081015"
"Commissariat de police de Moulins";"2 Cours Vincent d'Indy 03000 MOULINS";"+33 4 70 43 16 16";"03";"03190";"2 Cours Vincent d'Indy";"03000";"Moulins";"2154";"725079.757";"6607604.124";"3.32743809";"46.56800268"
"Commissariat de police de Vichy";"35 Avenue Victoria 03200 VICHY";"+33 4 70 96 11 11";"03";"03310";"35 Avenue Victoria";"03200";"Vichy";"2154";"732739.232";"6558753.431";"3.42401274";"46.12779466"
"Commissariat de police de Digne-les-bains";"2 Rue des Monges 04000 DIGNE-LES-BAINS";"+33 4 92 30 86 60";"04";"04070";"2 Rue des Monges";"04000";"Digne-les-Bains";"2154";"958970.015";"6337995.682";"6.23499689";"44.09321411"
"Commissariat de police de Manosque";"10 Allée de Provence 04100 MANOSQUE";"+33 4 92 70 17 00";"04";"04112";"10 Allée de Provence";"04100";"Manosque";"2154";"924076.503";"6307725.594";"5.78616988";"43.83295915"
"Commissariat de police de Briançon";"19 Avenue de la République 05100 BRIANCON";"+33 4 92 25 54 54";"05";"05023";"19 Avenue de la République";"05100";"Briançon";"2154";"987093.511";"6428691.177";"6.63800505";"44.89787608"
